date,station_id,season,temperature,humidity,wind_speed,wind_direction,rainfall
2016-04-01,C0F9Y0,spring,,,,,
2016-04-02,C0F9Y0,spring,,,,,
2016-04-03,C0F9Y0,spring,,,,,
2016-04-04,C0F9Y0,spring,,,,,
2016-04-05,C0F9Y0,spring,,,,,
2016-04-06,C0F9Y0,spring,,,,,
2016-04-07,C0F9Y0,spring,,,,,
2016-04-08,C0F9Y0,spring,,,,,
2016-04-09,C0F9Y0,spring,,,,,
2016-04-10,C0F9Y0,spring,,,,,
2016-04-11,C0F9Y0,spring,,,,,
2016-04-12,C0F9Y0,spring,,,,,
2016-04-13,C0F9Y0,spring,,,,,
2016-04-14,C0F9Y0,spring,,,,,
2016-04-15,C0F9Y0,spring,,,,,
2016-04-16,C0F9Y0,spring,,,,,
2016-04-17,C0F9Y0,spring,,,,,
2016-04-18,C0F9Y0,spring,,,,,
2016-04-19,C0F9Y0,spring,,,,,
2016-04-20,C0F9Y0,spring,,,,,
2016-04-21,C0F9Y0,spring,,,,,
2016-04-22,C0F9Y0,spring,,,,,
2016-04-23,C0F9Y0,spring,,,,,
2016-04-24,C0F9Y0,spring,,,,,
2016-04-25,C0F9Y0,spring,,,,,
2016-04-26,C0F9Y0,spring,,,,,
2016-04-27,C0F9Y0,spring,,,,,
2016-04-28,C0F9Y0,spring,,,,,
2016-04-29,C0F9Y0,spring,6.1,65,3.5,245,
2016-04-30,C0F9Y0,spring,5.9,90,3.0,226,
2016-05-01,C0F9Y0,spring,6.3,97,2.9,222,
2016-05-02,C0F9Y0,spring,7.9,87,2.5,216,
2016-05-03,C0F9Y0,spring,8.8,77,3.9,193,
2016-05-04,C0F9Y0,spring,9.6,65,1.7,191,
2016-05-05,C0F9Y0,spring,9.4,70,3.6,207,
2016-05-06,C0F9Y0,spring,10.0,50,3.1,248,
2016-05-07,C0F9Y0,spring,11.5,52,2.9,207,
2016-05-08,C0F9Y0,spring,11.6,64,2.7,215,
2016-05-09,C0F9Y0,spring,10.4,73,4.2,194,
2016-05-10,C0F9Y0,spring,8.6,75,4.1,222,
2016-05-11,C0F9Y0,spring,8.3,89,2.6,203,
2016-05-12,C0F9Y0,spring,8.5,81,2.3,205,
2016-05-13,C0F9Y0,spring,10.2,58,1.5,18,
2016-05-14,C0F9Y0,spring,9.5,97,0.8,34,
2016-05-15,C0F9Y0,spring,9.2,99,2.5,205,
2016-05-16,C0F9Y0,spring,8.7,99,2.8,202,
2016-05-17,C0F9Y0,spring,7.8,99,3.1,208,
2016-05-18,C0F9Y0,spring,7.9,89,2.7,215,
2016-05-19,C0F9Y0,spring,9.9,80,1.7,217,
2016-05-20,C0F9Y0,spring,8.1,82,2.6,199,
2016-05-21,C0F9Y0,spring,8.0,84,3.6,208,
2016-05-22,C0F9Y0,spring,9.9,97,2.6,197,
2016-05-23,C0F9Y0,spring,10.1,98,2.6,196,
2016-05-24,C0F9Y0,spring,10.8,98,2.9,197,
2016-05-25,C0F9Y0,spring,11.7,66,1.9,195,
2016-05-26,C0F9Y0,spring,12.2,67,1.9,198,
2016-05-27,C0F9Y0,spring,12.0,88,2.5,194,
2016-05-28,C0F9Y0,spring,11.4,86,4.3,200,
2016-05-29,C0F9Y0,spring,11.2,88,4.1,200,
2016-05-30,C0F9Y0,spring,11.0,85,2.6,207,
2016-05-31,C0F9Y0,spring,12.0,77,2.0,26,
2016-06-01,C0F9Y0,summer,12.2,66,3.3,260,
2016-06-02,C0F9Y0,summer,11.6,69,3.3,275,
2016-06-03,C0F9Y0,summer,10.6,77,3.0,221,
2016-06-04,C0F9Y0,summer,10.7,75,3.9,207,
